Territory X Date,target
Albania X 05/02/20,32
Albania X 05/03/20,32
Albania X 05/04/20,32
Albania X 05/05/20,32
Albania X 05/06/20,32
Albania X 05/07/20,32
Albania X 05/08/20,31
Albania X 05/09/20,31
Albania X 05/10/20,31
Albania X 05/11/20,31
Albania X 05/12/20,31
Albania X 05/13/20,32
Albania X 05/14/20,32
Albania X 05/15/20,32
Albania X 05/16/20,32
Albania X 05/17/20,33
Albania X 05/18/20,34
Albania X 05/19/20,34
Albania X 05/20/20,34
Albania X 05/21/20,35
Albania X 05/22/20,36
Albania X 05/23/20,37
Albania X 05/24/20,37
Albania X 05/25/20,37
Albania X 05/26/20,39
Albania X 05/27/20,39
Albania X 05/28/20,40
Albania X 05/29/20,40
Albania X 05/30/20,42
Albania X 05/31/20,42
Albania X 06/01/20,42
Albania X 06/02/20,43
Albania X 06/03/20,43
Albania X 06/04/20,44
Albania X 06/05/20,44
Albania X 06/06/20,44
Albania X 06/07/20,44
Algeria X 03/06/20,0
Algeria X 03/07/20,0
Algeria X 03/08/20,0
Algeria X 03/09/20,0
Algeria X 03/10/20,0
Algeria X 03/11/20,0
Algeria X 03/12/20,0
Algeria X 03/13/20,2
Algeria X 03/14/20,3
Algeria X 03/15/20,4
Algeria X 03/16/20,5
Algeria X 03/17/20,5
Algeria X 03/18/20,5
Algeria X 03/19/20,8
Algeria X 03/20/20,11
Algeria X 03/21/20,13
Algeria X 03/22/20,19
Algeria X 03/23/20,20
Algeria X 03/24/20,18
Algeria X 03/25/20,21
Algeria X 03/26/20,23
Algeria X 03/27/20,28
Algeria X 03/28/20,28
Algeria X 03/29/20,32
Algeria X 03/30/20,34
Algeria X 03/31/20,39
Algeria X 04/01/20,51
Algeria X 04/02/20,69
Algeria X 04/03/20,107
Algeria X 04/04/20,124
Algeria X 04/05/20,152
Algeria X 04/06/20,174
Algeria X 04/07/20,194
Algeria X 04/08/20,213
Algeria X 04/09/20,221
Algeria X 04/10/20,259
Algeria X 04/11/20,278
Algeria X 04/12/20,295
Algeria X 04/13/20,311
Algeria X 04/14/20,332
Algeria X 04/15/20,343
Algeria X 04/16/20,348
Algeria X 04/17/20,360
Algeria X 04/18/20,378
Algeria X 04/19/20,375
Algeria X 04/20/20,383
Algeria X 04/21/20,393
Algeria X 04/22/20,400
Algeria X 04/23/20,411
Algeria X 04/24/20,414
Algeria X 04/25/20,423
Algeria X 04/26/20,425
Algeria X 04/27/20,431
Algeria X 04/28/20,438
Algeria X 04/29/20,442
Algeria X 04/30/20,449
Algeria X 05/01/20,456
Algeria X 05/02/20,457
Algeria X 05/03/20,465
Algeria X 05/04/20,468
Algeria X 05/05/20,468
Algeria X 05/06/20,475
Algeria X 05/07/20,481
Algeria X 05/08/20,486
Algeria X 05/09/20,491
Algeria X 05/10/20,497
Algeria X 05/11/20,500
Algeria X 05/12/20,505
Algeria X 05/13/20,512
Algeria X 05/14/20,517
Algeria X 05/15/20,522
Algeria X 05/16/20,530
Algeria X 05/17/20,536
Algeria X 05/18/20,541
Algeria X 05/19/20,547
Algeria X 05/20/20,552
Algeria X 05/21/20,559
Algeria X 05/22/20,563
Algeria X 05/23/20,570
Algeria X 05/24/20,575
Algeria X 05/25/20,581
Algeria X 05/26/20,590
Algeria X 05/27/20,600
Algeria X 05/28/20,619
Algeria X 05/29/20,633
Algeria X 05/30/20,649
Algeria X 05/31/20,665
Algeria X 06/01/20,680
Algeria X 06/02/20,693
Algeria X 06/03/20,702
Algeria X 06/04/20,721
Algeria X 06/05/20,736
Algeria X 06/06/20,749
Algeria X 06/07/20,761
Andorra X 03/06/20,0
Andorra X 03/07/20,0
Andorra X 03/08/20,0
Andorra X 03/09/20,0
Andorra X 03/10/20,0
Andorra X 03/11/20,0
Andorra X 03/12/20,0
Andorra X 03/13/20,0
Andorra X 03/14/20,0
Andorra X 03/15/20,0
Andorra X 03/16/20,0
Andorra X 03/17/20,0
Andorra X 03/18/20,0
Andorra X 03/19/20,0
Andorra X 03/20/20,0
Andorra X 03/21/20,0
Andorra X 03/22/20,0
Andorra X 03/23/20,2
Andorra X 03/24/20,2
Andorra X 03/25/20,2
Andorra X 03/26/20,2
Andorra X 03/27/20,4
Andorra X 03/28/20,4
Andorra X 03/29/20,4
Andorra X 03/30/20,7
Andorra X 03/31/20,10
Andorra X 04/01/20,14
Andorra X 04/02/20,16
Andorra X 04/03/20,17
Andorra X 04/04/20,18
Andorra X 04/05/20,19
Andorra X 04/06/20,20
Andorra X 04/07/20,23
Andorra X 04/08/20,24
Andorra X 04/09/20,25
Andorra X 04/10/20,27
Andorra X 04/11/20,28
Andorra X 04/12/20,28
Andorra X 04/13/20,31
Andorra X 04/14/20,31
Andorra X 04/15/20,33
Andorra X 04/16/20,35
Andorra X 04/17/20,35
Andorra X 04/18/20,37
Andorra X 04/19/20,36
Andorra X 04/20/20,38
Andorra X 04/21/20,38
Andorra X 04/22/20,38
Andorra X 04/23/20,38
Andorra X 04/24/20,38
Andorra X 04/25/20,41
Andorra X 04/26/20,41
Andorra X 04/27/20,41
Andorra X 04/28/20,41
Andorra X 04/29/20,42
Andorra X 04/30/20,43
Andorra X 05/01/20,43
Andorra X 05/02/20,44
Andorra X 05/03/20,45
Andorra X 05/04/20,46
Andorra X 05/05/20,46
Andorra X 05/06/20,47
Andorra X 05/07/20,47
Andorra X 05/08/20,47
Andorra X 05/09/20,48
Andorra X 05/10/20,48
Andorra X 05/11/20,49
Andorra X 05/12/20,49
Andorra X 05/13/20,50
Andorra X 05/14/20,50
Andorra X 05/15/20,51
Andorra X 05/16/20,51
Andorra X 05/17/20,52
Andorra X 05/18/20,53
Andorra X 05/19/20,54
Andorra X 05/20/20,54
Andorra X 05/21/20,56
Andorra X 05/22/20,56
Andorra X 05/23/20,57
Andorra X 05/24/20,59
Andorra X 05/25/20,61
Andorra X 05/26/20,63
Andorra X 05/27/20,65
Andorra X 05/28/20,66
Andorra X 05/29/20,67
Andorra X 05/30/20,67
Andorra X 05/31/20,68
Andorra X 06/01/20,70
Andorra X 06/02/20,71
Andorra X 06/03/20,72
Andorra X 06/04/20,74
Andorra X 06/05/20,75
Andorra X 06/06/20,75
Andorra X 06/07/20,77
Angola X 03/06/20,0
Angola X 03/07/20,0
Angola X 03/08/20,0
Angola X 03/09/20,0
Angola X 03/10/20,0
Angola X 03/11/20,0
Angola X 03/12/20,0
Angola X 03/13/20,0
Angola X 03/14/20,0
Angola X 03/15/20,0
Angola X 03/16/20,0
Angola X 03/17/20,0
Angola X 03/18/20,0
Angola X 03/19/20,0
Angola X 03/20/20,0
Angola X 03/21/20,0
Angola X 03/22/20,0
Angola X 03/23/20,0
Angola X 03/24/20,0
Angola X 03/25/20,0
Angola X 03/26/20,0
Angola X 03/27/20,0
Angola X 03/28/20,0
Angola X 03/29/20,0
Angola X 03/30/20,2
Angola X 03/31/20,3
Angola X 04/01/20,2
Angola X 04/02/20,2
Angola X 04/03/20,2
Angola X 04/04/20,2
Angola X 04/05/20,2
Angola X 04/06/20,2
Angola X 04/07/20,2
Angola X 04/08/20,2
Angola X 04/09/20,2
Angola X 04/10/20,2
Angola X 04/11/20,2
Angola X 04/12/20,2
Angola X 04/13/20,2
Angola X 04/14/20,2
Angola X 04/15/20,2
Angola X 04/16/20,2
Angola X 04/17/20,2
Angola X 04/18/20,2
Angola X 04/19/20,2
Angola X 04/20/20,2
Angola X 04/21/20,2
Angola X 04/22/20,2
Angola X 04/23/20,2
Angola X 04/24/20,2
Angola X 04/25/20,2
Angola X 04/26/20,2
Angola X 04/27/20,2
Angola X 04/28/20,2
Angola X 04/29/20,2
Angola X 04/30/20,2
Angola X 05/01/20,2
Angola X 05/02/20,2
Angola X 05/03/20,2
Angola X 05/04/20,2
Angola X 05/05/20,2
Angola X 05/06/20,2
Angola X 05/07/20,2
Angola X 05/08/20,2
Angola X 05/09/20,2
Angola X 05/10/20,2
Angola X 05/11/20,2
Angola X 05/12/20,2
Angola X 05/13/20,2
Angola X 05/14/20,2
Angola X 05/15/20,2
Angola X 05/16/20,2
Angola X 05/17/20,2
Angola X 05/18/20,2
Angola X 05/19/20,2
Angola X 05/20/20,2
Angola X 05/21/20,2
Angola X 05/22/20,2
Angola X 05/23/20,2
Angola X 05/24/20,4
Angola X 05/25/20,4
Angola X 05/26/20,4
Angola X 05/27/20,4
Angola X 05/28/20,4
Angola X 05/29/20,4
Angola X 05/30/20,4
Angola X 05/31/20,4
Angola X 06/01/20,4
Angola X 06/02/20,4
Angola X 06/03/20,4
Angola X 06/04/20,4
Angola X 06/05/20,4
Angola X 06/06/20,4
Angola X 06/07/20,4
Antigua and Barbuda X 03/06/20,0
Antigua and Barbuda X 03/07/20,0
Antigua and Barbuda X 03/08/20,0
Antigua and Barbuda X 03/09/20,0
Antigua and Barbuda X 03/10/20,0
Antigua and Barbuda X 03/11/20,0
Antigua and Barbuda X 03/12/20,0
Antigua and Barbuda X 03/13/20,0
Antigua and Barbuda X 03/14/20,0
Antigua and Barbuda X 03/15/20,0
Antigua and Barbuda X 03/16/20,0
Antigua and Barbuda X 03/17/20,0
Antigua and Barbuda X 03/18/20,0
Antigua and Barbuda X 03/19/20,0
Antigua and Barbuda X 03/20/20,0
Antigua and Barbuda X 03/21/20,0
Antigua and Barbuda X 03/22/20,0
Antigua and Barbuda X 03/23/20,0
Antigua and Barbuda X 03/24/20,0
Antigua and Barbuda X 03/25/20,0
Antigua and Barbuda X 03/26/20,0
Antigua and Barbuda X 03/27/20,0
Antigua and Barbuda X 03/28/20,0
Antigua and Barbuda X 03/29/20,0
Antigua and Barbuda X 03/30/20,0
Antigua and Barbuda X 03/31/20,0
Antigua and Barbuda X 04/01/20,0
Antigua and Barbuda X 04/02/20,0
Antigua and Barbuda X 04/03/20,0
Antigua and Barbuda X 04/04/20,0
Antigua and Barbuda X 04/05/20,0
Antigua and Barbuda X 04/06/20,0
Antigua and Barbuda X 04/07/20,0
Antigua and Barbuda X 04/08/20,2
Antigua and Barbuda X 04/09/20,3
Antigua and Barbuda X 04/10/20,2
Antigua and Barbuda X 04/11/20,3
Antigua and Barbuda X 04/12/20,2
Antigua and Barbuda X 04/13/20,3
Antigua and Barbuda X 04/14/20,2
Antigua and Barbuda X 04/15/20,3
Antigua and Barbuda X 04/16/20,2
Antigua and Barbuda X 04/17/20,4
Antigua and Barbuda X 04/18/20,3
Antigua and Barbuda X 04/19/20,4
Antigua and Barbuda X 04/20/20,3
Antigua and Barbuda X 04/21/20,4
Antigua and Barbuda X 04/22/20,3
Antigua and Barbuda X 04/23/20,4
Antigua and Barbuda X 04/24/20,3
Antigua and Barbuda X 04/25/20,4
Antigua and Barbuda X 04/26/20,3
Antigua and Barbuda X 04/27/20,4
Antigua and Barbuda X 04/28/20,3
Antigua and Barbuda X 04/29/20,4
Antigua and Barbuda X 04/30/20,3
Antigua and Barbuda X 05/01/20,4
Antigua and Barbuda X 05/02/20,3
Antigua and Barbuda X 05/03/20,4
Antigua and Barbuda X 05/04/20,3
Antigua and Barbuda X 05/05/20,3
Antigua and Barbuda X 05/06/20,3
Antigua and Barbuda X 05/07/20,4
Antigua and Barbuda X 05/08/20,4
Antigua and Barbuda X 05/09/20,4
Antigua and Barbuda X 05/10/20,4
Antigua and Barbuda X 05/11/20,4
Antigua and Barbuda X 05/12/20,3
Antigua and Barbuda X 05/13/20,3
Antigua and Barbuda X 05/14/20,3
Antigua and Barbuda X 05/15/20,3
Antigua and Barbuda X 05/16/20,3
Antigua and Barbuda X 05/17/20,3
Antigua and Barbuda X 05/18/20,3
Antigua and Barbuda X 05/19/20,3
Antigua and Barbuda X 05/20/20,3
Antigua and Barbuda X 05/21/20,3
Antigua and Barbuda X 05/22/20,3
Antigua and Barbuda X 05/23/20,3
Antigua and Barbuda X 05/24/20,3
Antigua and Barbuda X 05/25/20,3
Antigua and Barbuda X 05/26/20,3
Antigua and Barbuda X 05/27/20,3
Antigua and Barbuda X 05/28/20,3
Antigua and Barbuda X 05/29/20,3
Antigua and Barbuda X 05/30/20,3
Antigua and Barbuda X 05/31/20,3
Antigua and Barbuda X 06/01/20,3
Antigua and Barbuda X 06/02/20,4
Antigua and Barbuda X 06/03/20,4
Antigua and Barbuda X 06/04/20,4
Antigua and Barbuda X 06/05/20,4
Antigua and Barbuda X 06/06/20,4
Antigua and Barbuda X 06/07/20,4
Argentina X 03/06/20,0
Argentina X 03/07/20,0
Argentina X 03/08/20,0
Argentina X 03/09/20,2
Argentina X 03/10/20,2
Argentina X 03/11/20,2
Argentina X 03/12/20,2
Argentina X 03/13/20,2
Argentina X 03/14/20,3
Argentina X 03/15/20,3
Argentina X 03/16/20,3
Argentina X 03/17/20,3
Argentina X 03/18/20,3
Argentina X 03/19/20,3
Argentina X 03/20/20,5
Argentina X 03/21/20,4
Argentina X 03/22/20,5
Argentina X 03/23/20,5
Argentina X 03/24/20,5
Argentina X 03/25/20,7
Argentina X 03/26/20,10
Argentina X 03/27/20,11
Argentina X 03/28/20,15
Argentina X 03/29/20,21
Argentina X 03/30/20,22
Argentina X 03/31/20,26
Argentina X 04/01/20,30
Argentina X 04/02/20,31
Argentina X 04/03/20,40
Argentina X 04/04/20,43
Argentina X 04/05/20,47
Argentina X 04/06/20,48
Argentina X 04/07/20,52
Argentina X 04/08/20,61
Argentina X 04/09/20,68
Argentina X 04/10/20,78
Argentina X 04/11/20,89
Argentina X 04/12/20,89
Argentina X 04/13/20,97
Argentina X 04/14/20,104
Argentina X 04/15/20,109
Argentina X 04/16/20,118
Argentina X 04/17/20,122
Argentina X 04/18/20,130
Argentina X 04/19/20,137
Argentina X 04/20/20,139
Argentina X 04/21/20,143
Argentina X 04/22/20,154
Argentina X 04/23/20,160
Argentina X 04/24/20,173
Argentina X 04/25/20,184
Argentina X 04/26/20,195
Argentina X 04/27/20,201
Argentina X 04/28/20,206
Argentina X 04/29/20,217
Argentina X 04/30/20,222
Argentina X 05/01/20,227
Argentina X 05/02/20,234
Argentina X 05/03/20,249
Argentina X 05/04/20,256
Argentina X 05/05/20,269
Argentina X 05/06/20,273
Argentina X 05/07/20,282
Argentina X 05/08/20,292
Argentina X 05/09/20,304
Argentina X 05/10/20,314
Argentina X 05/11/20,325
Argentina X 05/12/20,337
Argentina X 05/13/20,348
Argentina X 05/14/20,362
Argentina X 05/15/20,374
Argentina X 05/16/20,388
Argentina X 05/17/20,402
Argentina X 05/18/20,417
Argentina X 05/19/20,432
Argentina X 05/20/20,450
Argentina X 05/21/20,464
Argentina X 05/22/20,484
Argentina X 05/23/20,506
Argentina X 05/24/20,524
Argentina X 05/25/20,547
Argentina X 05/26/20,569
Argentina X 05/27/20,589
Argentina X 05/28/20,619
Argentina X 05/29/20,643
Argentina X 05/30/20,666
Argentina X 05/31/20,688
Argentina X 06/01/20,712
Argentina X 06/02/20,746
Argentina X 06/03/20,778
Argentina X 06/04/20,813
Argentina X 06/05/20,849
Argentina X 06/06/20,874
Argentina X 06/07/20,908
Armenia X 03/06/20,0
Armenia X 03/07/20,0
Armenia X 03/08/20,0
Armenia X 03/09/20,0
Armenia X 03/10/20,0
Armenia X 03/11/20,0
Armenia X 03/12/20,0
Armenia X 03/13/20,0
Armenia X 03/14/20,0
Armenia X 03/15/20,0
Armenia X 03/16/20,0
Armenia X 03/17/20,0
Armenia X 03/18/20,0
Armenia X 03/19/20,0
Armenia X 03/20/20,0
Armenia X 03/21/20,0
Armenia X 03/22/20,0
Armenia X 03/23/20,0
Armenia X 03/24/20,0
Armenia X 03/25/20,0
Armenia X 03/26/20,0
Armenia X 03/27/20,2
Armenia X 03/28/20,1
Armenia X 03/29/20,2
Armenia X 03/30/20,4
Armenia X 03/31/20,3
Armenia X 04/01/20,4
Armenia X 04/02/20,5
Armenia X 04/03/20,9
Armenia X 04/04/20,7
Armenia X 04/05/20,8
Armenia X 04/06/20,7
Armenia X 04/07/20,9
Armenia X 04/08/20,8
Armenia X 04/09/20,10
Armenia X 04/10/20,11
Armenia X 04/11/20,13
Armenia X 04/12/20,14
Armenia X 04/13/20,13
Armenia X 04/14/20,15
Armenia X 04/15/20,17
Armenia X 04/16/20,18
Armenia X 04/17/20,19
Armenia X 04/18/20,20
Armenia X 04/19/20,21
Armenia X 04/20/20,20
Armenia X 04/21/20,24
Armenia X 04/22/20,25
Armenia X 04/23/20,25
Armenia X 04/24/20,24
Armenia X 04/25/20,29
Armenia X 04/26/20,29
Armenia X 04/27/20,28
Armenia X 04/28/20,30
Armenia X 04/29/20,31
Armenia X 04/30/20,31
Armenia X 05/01/20,33
Armenia X 05/02/20,34
Armenia X 05/03/20,33
Armenia X 05/04/20,37
Armenia X 05/05/20,41
Armenia X 05/06/20,41
Armenia X 05/07/20,41
Armenia X 05/08/20,41
Armenia X 05/09/20,42
Armenia X 05/10/20,42
Armenia X 05/11/20,42
Armenia X 05/12/20,43
Armenia X 05/13/20,43
Armenia X 05/14/20,44
Armenia X 05/15/20,44
Armenia X 05/16/20,44
Armenia X 05/17/20,44
Armenia X 05/18/20,45
Armenia X 05/19/20,46
Armenia X 05/20/20,46
Armenia X 05/21/20,47
Armenia X 05/22/20,48
Armenia X 05/23/20,48
Armenia X 05/24/20,49
Armenia X 05/25/20,50
Armenia X 05/26/20,50
Armenia X 05/27/20,51
Armenia X 05/28/20,53
Armenia X 05/29/20,54
Armenia X 05/30/20,54
Armenia X 05/31/20,54
Armenia X 06/01/20,56
Armenia X 06/02/20,57
Armenia X 06/03/20,57
Armenia X 06/04/20,58
Armenia X 06/05/20,60
Armenia X 06/06/20,60
Armenia X 06/07/20,60
Aruba X 03/06/20,0
Aruba X 03/07/20,0
Aruba X 03/08/20,0
Aruba X 03/09/20,0
Aruba X 03/10/20,0
Aruba X 03/11/20,0
Aruba X 03/12/20,0
Aruba X 03/13/20,0
Aruba X 03/14/20,0
Aruba X 03/15/20,0
Aruba X 03/16/20,0
Aruba X 03/17/20,0
Aruba X 03/18/20,0
Aruba X 03/19/20,0
Aruba X 03/20/20,0
Aruba X 03/21/20,0
Aruba X 03/22/20,0
Aruba X 03/23/20,0
Aruba X 03/24/20,0
Aruba X 03/25/20,0
Aruba X 03/26/20,0
Aruba X 03/27/20,0
Aruba X 03/28/20,0
Aruba X 03/29/20,0
Aruba X 03/30/20,0
Aruba X 03/31/20,0
Aruba X 04/01/20,0
Aruba X 04/02/20,0
Aruba X 04/03/20,0
Aruba X 04/04/20,0
Aruba X 04/05/20,0
Aruba X 04/06/20,0
Aruba X 04/07/20,0
Aruba X 04/08/20,0
Aruba X 04/09/20,0
Aruba X 04/10/20,0
Aruba X 04/11/20,0
Aruba X 04/12/20,0
Aruba X 04/13/20,0
Aruba X 04/14/20,0
Aruba X 04/15/20,0
Aruba X 04/16/20,2
Aruba X 04/17/20,3
Aruba X 04/18/20,2
Aruba X 04/19/20,3
Aruba X 04/20/20,2
Aruba X 04/21/20,3
Aruba X 04/22/20,2
Aruba X 04/23/20,3
Aruba X 04/24/20,2
Aruba X 04/25/20,3
Aruba X 04/26/20,2
Aruba X 04/27/20,3
Aruba X 04/28/20,2
Aruba X 04/29/20,3
Aruba X 04/30/20,2
Aruba X 05/01/20,3
Aruba X 05/02/20,2
Aruba X 05/03/20,3
Aruba X 05/04/20,2
Aruba X 05/05/20,3
Aruba X 05/06/20,2
Aruba X 05/07/20,3
Aruba X 05/08/20,3
Aruba X 05/09/20,3
Aruba X 05/10/20,3
Aruba X 05/11/20,3
Aruba X 05/12/20,3
Aruba X 05/13/20,3
Aruba X 05/14/20,4
Aruba X 05/15/20,4
Aruba X 05/16/20,4
Aruba X 05/17/20,4
Aruba X 05/18/20,4
Aruba X 05/19/20,4
Aruba X 05/20/20,4
Aruba X 05/21/20,4
Aruba X 05/22/20,4
Aruba X 05/23/20,4
Aruba X 05/24/20,4
Aruba X 05/25/20,4
Aruba X 05/26/20,4
Aruba X 05/27/20,4
Aruba X 05/28/20,4
Aruba X 05/29/20,4
Aruba X 05/30/20,4
Aruba X 05/31/20,4
Aruba X 06/01/20,4
Aruba X 06/02/20,4
Aruba X 06/03/20,4
Aruba X 06/04/20,4
Aruba X 06/05/20,4
Aruba X 06/06/20,4
Aruba X 06/07/20,4
Australia X 03/06/20,3
Australia X 03/07/20,3
Australia X 03/08/20,3
Australia X 03/09/20,4
Australia X 03/10/20,4
Australia X 03/11/20,4
Australia X 03/12/20,4
Australia X 03/13/20,4
Australia X 03/14/20,4
Australia X 03/15/20,4
Australia X 03/16/20,4
Australia X 03/17/20,4
Australia X 03/18/20,6
Australia X 03/19/20,7
Australia X 03/20/20,7
Australia X 03/21/20,8
Australia X 03/22/20,8
Australia X 03/23/20,8
Australia X 03/24/20,8
Australia X 03/25/20,9
Australia X 03/26/20,9
Australia X 03/27/20,15
Australia X 03/28/20,15
Australia X 03/29/20,16
Australia X 03/30/20,18
Australia X 03/31/20,18
Australia X 04/01/20,20
Australia X 04/02/20,22
Australia X 04/03/20,27
Australia X 04/04/20,31
Australia X 04/05/20,33
Australia X 04/06/20,38
Australia X 04/07/20,44
Australia X 04/08/20,49
Australia X 04/09/20,54
Australia X 04/10/20,54
Australia X 04/11/20,57
Australia X 04/12/20,60
Australia X 04/13/20,63
Australia X 04/14/20,64
Australia X 04/15/20,64
Australia X 04/16/20,64
Australia X 04/17/20,64
Australia X 04/18/20,68
Australia X 04/19/20,69
Australia X 04/20/20,68
Australia X 04/21/20,68
Australia X 04/22/20,67
Australia X 04/23/20,70
Australia X 04/24/20,77
Australia X 04/25/20,83
Australia X 04/26/20,84
Australia X 04/27/20,85
Australia X 04/28/20,85
Australia X 04/29/20,93
Australia X 04/30/20,95
Australia X 05/01/20,96
Australia X 05/02/20,94
Australia X 05/03/20,97
Australia X 05/04/20,97
Australia X 05/05/20,98
Australia X 05/06/20,99
Australia X 05/07/20,96
Australia X 05/08/20,96
Australia X 05/09/20,96
Australia X 05/10/20,97
Australia X 05/11/20,96
Australia X 05/12/20,96
Australia X 05/13/20,96
Australia X 05/14/20,95
Australia X 05/15/20,96
Australia X 05/16/20,96
Australia X 05/17/20,95
Australia X 05/18/20,94
Australia X 05/19/20,94
Australia X 05/20/20,93
Australia X 05/21/20,100
Australia X 05/22/20,101
Australia X 05/23/20,102
Australia X 05/24/20,104
Australia X 05/25/20,104
Australia X 05/26/20,107
Australia X 05/27/20,109
Australia X 05/28/20,112
Australia X 05/29/20,113
Australia X 05/30/20,114
Australia X 05/31/20,117
Australia X 06/01/20,120
Australia X 06/02/20,123
Australia X 06/03/20,125
Australia X 06/04/20,124
Australia X 06/05/20,126
Australia X 06/06/20,127
Australia X 06/07/20,128
Austria X 03/06/20,0
Austria X 03/07/20,0
Austria X 03/08/20,0
Austria X 03/09/20,0
Austria X 03/10/20,0
Austria X 03/11/20,0
Austria X 03/12/20,0
Austria X 03/13/20,2
Austria X 03/14/20,2
Austria X 03/15/20,2
Austria X 03/16/20,2
Austria X 03/17/20,4
Austria X 03/18/20,4
Austria X 03/19/20,5
Austria X 03/20/20,8
Austria X 03/21/20,7
Austria X 03/22/20,10
Austria X 03/23/20,21
Austria X 03/24/20,26
Austria X 03/25/20,34
Austria X 03/26/20,34
Austria X 03/27/20,61
Austria X 03/28/20,68
Austria X 03/29/20,78
Austria X 03/30/20,100
Austria X 03/31/20,126
