Territory X Date,target,cases,Territory,Date
Afghanistan X 3/9/20,0,4,Afghanistan,3/9/20
Afghanistan X 3/10/20,0,5,Afghanistan,3/10/20
Afghanistan X 3/11/20,0,7,Afghanistan,3/11/20
Afghanistan X 3/12/20,0,7,Afghanistan,3/12/20
Afghanistan X 3/13/20,0,7,Afghanistan,3/13/20
Afghanistan X 3/14/20,0,11,Afghanistan,3/14/20
Afghanistan X 3/15/20,0,16,Afghanistan,3/15/20
Afghanistan X 3/16/20,0,21,Afghanistan,3/16/20
Afghanistan X 3/17/20,0,22,Afghanistan,3/17/20
Afghanistan X 3/18/20,0,22,Afghanistan,3/18/20
Afghanistan X 3/19/20,0,22,Afghanistan,3/19/20
Afghanistan X 3/20/20,0,24,Afghanistan,3/20/20
Afghanistan X 3/21/20,0,24,Afghanistan,3/21/20
Afghanistan X 3/22/20,1,40,Afghanistan,3/22/20
Afghanistan X 3/23/20,1,40,Afghanistan,3/23/20
Afghanistan X 3/24/20,1,74,Afghanistan,3/24/20
Afghanistan X 3/25/20,2,84,Afghanistan,3/25/20
Afghanistan X 3/26/20,4,94,Afghanistan,3/26/20
Afghanistan X 3/27/20,4,110,Afghanistan,3/27/20
Afghanistan X 3/28/20,4,110,Afghanistan,3/28/20
Afghanistan X 3/29/20,4,120,Afghanistan,3/29/20
Afghanistan X 3/30/20,4,170,Afghanistan,3/30/20
Afghanistan X 3/31/20,4,174,Afghanistan,3/31/20
Afghanistan X 4/1/20,4,237,Afghanistan,4/1/20
Afghanistan X 4/2/20,6,273,Afghanistan,4/2/20
Afghanistan X 4/3/20,6,281,Afghanistan,4/3/20
Afghanistan X 4/4/20,7,299,Afghanistan,4/4/20
Afghanistan X 4/5/20,7,349,Afghanistan,4/5/20
Afghanistan X 4/6/20,11,367,Afghanistan,4/6/20
Afghanistan X 4/7/20,14,423,Afghanistan,4/7/20
Afghanistan X 4/8/20,14,444,Afghanistan,4/8/20
Afghanistan X 4/9/20,15,484,Afghanistan,4/9/20
Afghanistan X 4/10/20,15,521,Afghanistan,4/10/20
Afghanistan X 4/11/20,18,555,Afghanistan,4/11/20
Afghanistan X 4/12/20,18,607,Afghanistan,4/12/20
Afghanistan X 4/13/20,21,665,Afghanistan,4/13/20
Afghanistan X 4/14/20,23,714,Afghanistan,4/14/20
Afghanistan X 4/15/20,25,784,Afghanistan,4/15/20
Afghanistan X 4/16/20,30,840,Afghanistan,4/16/20
Afghanistan X 4/17/20,30,906,Afghanistan,4/17/20
Afghanistan X 4/18/20,30,933,Afghanistan,4/18/20
Afghanistan X 4/19/20,33,996,Afghanistan,4/19/20
Afghanistan X 4/20/20,36,1026,Afghanistan,4/20/20
Afghanistan X 4/21/20,36,1092,Afghanistan,4/21/20
Afghanistan X 4/22/20,40,1176,Afghanistan,4/22/20
Afghanistan X 4/23/20,42,1279,Afghanistan,4/23/20
Afghanistan X 4/24/20,43,1351,Afghanistan,4/24/20
Afghanistan X 4/25/20,47,1463,Afghanistan,4/25/20
Afghanistan X 4/26/20,50,1531,Afghanistan,4/26/20
Afghanistan X 4/27/20,57,1703,Afghanistan,4/27/20
Afghanistan X 4/28/20,58,1828,Afghanistan,4/28/20
Afghanistan X 4/29/20,60,1939,Afghanistan,4/29/20
Afghanistan X 4/30/20,64,2171,Afghanistan,4/30/20
Afghanistan X 5/1/20,68,2335,Afghanistan,5/1/20
Afghanistan X 5/2/20,72,2469,Afghanistan,5/2/20
Afghanistan X 5/3/20,85,2704,Afghanistan,5/3/20
Afghanistan X 5/4/20,90,2894,Afghanistan,5/4/20
Afghanistan X 5/5/20,95,3224,Afghanistan,5/5/20
Afghanistan X 5/6/20,104,3392,Afghanistan,5/6/20
Albania X 1/22/20,0,0,Albania,1/22/20
Albania X 1/23/20,0,0,Albania,1/23/20
Albania X 1/24/20,0,0,Albania,1/24/20
Albania X 1/25/20,0,0,Albania,1/25/20
Albania X 1/26/20,0,0,Albania,1/26/20
Albania X 1/27/20,0,0,Albania,1/27/20
Albania X 1/28/20,0,0,Albania,1/28/20
Albania X 1/29/20,0,0,Albania,1/29/20
Albania X 1/30/20,0,0,Albania,1/30/20
Albania X 1/31/20,0,0,Albania,1/31/20
Albania X 2/1/20,0,0,Albania,2/1/20
Albania X 2/2/20,0,0,Albania,2/2/20
Albania X 2/3/20,0,0,Albania,2/3/20
Albania X 2/4/20,0,0,Albania,2/4/20
Albania X 2/5/20,0,0,Albania,2/5/20
Albania X 2/6/20,0,0,Albania,2/6/20
Albania X 2/7/20,0,0,Albania,2/7/20
Albania X 2/8/20,0,0,Albania,2/8/20
Albania X 2/9/20,0,0,Albania,2/9/20
Albania X 2/10/20,0,0,Albania,2/10/20
Albania X 2/11/20,0,0,Albania,2/11/20
Albania X 2/12/20,0,0,Albania,2/12/20
Albania X 2/13/20,0,0,Albania,2/13/20
Albania X 2/14/20,0,0,Albania,2/14/20
Albania X 2/15/20,0,0,Albania,2/15/20
Albania X 2/16/20,0,0,Albania,2/16/20
Albania X 2/17/20,0,0,Albania,2/17/20
Albania X 2/18/20,0,0,Albania,2/18/20
Albania X 2/19/20,0,0,Albania,2/19/20
Albania X 2/20/20,0,0,Albania,2/20/20
Albania X 2/21/20,0,0,Albania,2/21/20
Albania X 2/22/20,0,0,Albania,2/22/20
Albania X 2/23/20,0,0,Albania,2/23/20
Albania X 2/24/20,0,0,Albania,2/24/20
Albania X 2/25/20,0,0,Albania,2/25/20
Albania X 2/26/20,0,0,Albania,2/26/20
Albania X 2/27/20,0,0,Albania,2/27/20
Albania X 2/28/20,0,0,Albania,2/28/20
Albania X 2/29/20,0,0,Albania,2/29/20
Albania X 3/1/20,0,0,Albania,3/1/20
Albania X 3/2/20,0,0,Albania,3/2/20
Albania X 3/3/20,0,0,Albania,3/3/20
Albania X 3/4/20,0,0,Albania,3/4/20
Albania X 3/5/20,0,0,Albania,3/5/20
Albania X 3/6/20,0,0,Albania,3/6/20
Albania X 3/7/20,0,0,Albania,3/7/20
Albania X 3/8/20,0,0,Albania,3/8/20
Albania X 3/9/20,0,2,Albania,3/9/20
Albania X 3/10/20,0,10,Albania,3/10/20
Albania X 3/11/20,1,12,Albania,3/11/20
Albania X 3/12/20,1,23,Albania,3/12/20
Albania X 3/13/20,1,33,Albania,3/13/20
Albania X 3/14/20,1,38,Albania,3/14/20
Albania X 3/15/20,1,42,Albania,3/15/20
Albania X 3/16/20,1,51,Albania,3/16/20
Albania X 3/17/20,1,55,Albania,3/17/20
Albania X 3/18/20,2,59,Albania,3/18/20
Albania X 3/19/20,2,64,Albania,3/19/20
Albania X 3/20/20,2,70,Albania,3/20/20
Albania X 3/21/20,2,76,Albania,3/21/20
Albania X 3/22/20,2,89,Albania,3/22/20
Albania X 3/23/20,4,104,Albania,3/23/20
Albania X 3/24/20,5,123,Albania,3/24/20
Albania X 3/25/20,5,146,Albania,3/25/20
Albania X 3/26/20,6,174,Albania,3/26/20
Albania X 3/27/20,8,186,Albania,3/27/20
Albania X 3/28/20,10,197,Albania,3/28/20
Albania X 3/29/20,10,212,Albania,3/29/20
Albania X 3/30/20,11,223,Albania,3/30/20
Albania X 3/31/20,15,243,Albania,3/31/20
Albania X 4/1/20,15,259,Albania,4/1/20
Albania X 4/2/20,16,277,Albania,4/2/20
Albania X 4/3/20,17,304,Albania,4/3/20
Albania X 4/4/20,20,333,Albania,4/4/20
Albania X 4/5/20,20,361,Albania,4/5/20
Albania X 4/6/20,21,377,Albania,4/6/20
Albania X 4/7/20,22,383,Albania,4/7/20
Albania X 4/8/20,22,400,Albania,4/8/20
Albania X 4/9/20,23,409,Albania,4/9/20
Albania X 4/10/20,23,416,Albania,4/10/20
Albania X 4/11/20,23,433,Albania,4/11/20
Albania X 4/12/20,23,446,Albania,4/12/20
Albania X 4/13/20,23,467,Albania,4/13/20
Albania X 4/14/20,24,475,Albania,4/14/20
Albania X 4/15/20,25,494,Albania,4/15/20
Albania X 4/16/20,26,518,Albania,4/16/20
Albania X 4/17/20,26,539,Albania,4/17/20
Albania X 4/18/20,26,548,Albania,4/18/20
Albania X 4/19/20,26,562,Albania,4/19/20
Albania X 4/20/20,26,584,Albania,4/20/20
Albania X 4/21/20,26,609,Albania,4/21/20
Albania X 4/22/20,27,634,Albania,4/22/20
Albania X 4/23/20,27,663,Albania,4/23/20
Albania X 4/24/20,27,678,Albania,4/24/20
Albania X 4/25/20,27,712,Albania,4/25/20
Albania X 4/26/20,28,726,Albania,4/26/20
Albania X 4/27/20,28,736,Albania,4/27/20
Albania X 4/28/20,30,750,Albania,4/28/20
Albania X 4/29/20,30,766,Albania,4/29/20
Albania X 4/30/20,31,773,Albania,4/30/20
Albania X 5/1/20,31,782,Albania,5/1/20
Albania X 5/2/20,31,789,Albania,5/2/20
Albania X 5/3/20,31,795,Albania,5/3/20
Albania X 5/4/20,31,803,Albania,5/4/20
Albania X 5/5/20,31,820,Albania,5/5/20
Albania X 5/6/20,31,832,Albania,5/6/20
Algeria X 1/22/20,0,0,Algeria,1/22/20
Algeria X 1/23/20,0,0,Algeria,1/23/20
Algeria X 1/24/20,0,0,Algeria,1/24/20
Algeria X 1/25/20,0,0,Algeria,1/25/20
Algeria X 1/26/20,0,0,Algeria,1/26/20
Algeria X 1/27/20,0,0,Algeria,1/27/20
Algeria X 1/28/20,0,0,Algeria,1/28/20
Algeria X 1/29/20,0,0,Algeria,1/29/20
Algeria X 1/30/20,0,0,Algeria,1/30/20
Algeria X 1/31/20,0,0,Algeria,1/31/20
Algeria X 2/1/20,0,0,Algeria,2/1/20
Algeria X 2/2/20,0,0,Algeria,2/2/20
Algeria X 2/3/20,0,0,Algeria,2/3/20
Algeria X 2/4/20,0,0,Algeria,2/4/20
Algeria X 2/5/20,0,0,Algeria,2/5/20
Algeria X 2/6/20,0,0,Algeria,2/6/20
Algeria X 2/7/20,0,0,Algeria,2/7/20
Algeria X 2/8/20,0,0,Algeria,2/8/20
Algeria X 2/9/20,0,0,Algeria,2/9/20
Algeria X 2/10/20,0,0,Algeria,2/10/20
Algeria X 2/11/20,0,0,Algeria,2/11/20
Algeria X 2/12/20,0,0,Algeria,2/12/20
Algeria X 2/13/20,0,0,Algeria,2/13/20
Algeria X 2/14/20,0,0,Algeria,2/14/20
Algeria X 2/15/20,0,0,Algeria,2/15/20
Algeria X 2/16/20,0,0,Algeria,2/16/20
Algeria X 2/17/20,0,0,Algeria,2/17/20
Algeria X 2/18/20,0,0,Algeria,2/18/20
Algeria X 2/19/20,0,0,Algeria,2/19/20
Algeria X 2/20/20,0,0,Algeria,2/20/20
Algeria X 2/21/20,0,0,Algeria,2/21/20
Algeria X 2/22/20,0,0,Algeria,2/22/20
Algeria X 2/23/20,0,0,Algeria,2/23/20
Algeria X 2/24/20,0,0,Algeria,2/24/20
Algeria X 2/25/20,0,1,Algeria,2/25/20
Algeria X 2/26/20,0,1,Algeria,2/26/20
Algeria X 2/27/20,0,1,Algeria,2/27/20
Algeria X 2/28/20,0,1,Algeria,2/28/20
Algeria X 2/29/20,0,1,Algeria,2/29/20
Algeria X 3/1/20,0,1,Algeria,3/1/20
Algeria X 3/2/20,0,3,Algeria,3/2/20
Algeria X 3/3/20,0,5,Algeria,3/3/20
Algeria X 3/4/20,0,12,Algeria,3/4/20
Algeria X 3/5/20,0,12,Algeria,3/5/20
Algeria X 3/6/20,0,17,Algeria,3/6/20
Algeria X 3/7/20,0,17,Algeria,3/7/20
Algeria X 3/8/20,0,19,Algeria,3/8/20
Algeria X 3/9/20,0,20,Algeria,3/9/20
Algeria X 3/10/20,0,20,Algeria,3/10/20
Algeria X 3/11/20,0,20,Algeria,3/11/20
Algeria X 3/12/20,1,24,Algeria,3/12/20
Algeria X 3/13/20,2,26,Algeria,3/13/20
Algeria X 3/14/20,3,37,Algeria,3/14/20
Algeria X 3/15/20,4,48,Algeria,3/15/20
Algeria X 3/16/20,4,54,Algeria,3/16/20
Algeria X 3/17/20,4,60,Algeria,3/17/20
Algeria X 3/18/20,7,74,Algeria,3/18/20
Algeria X 3/19/20,9,87,Algeria,3/19/20
Algeria X 3/20/20,11,90,Algeria,3/20/20
Algeria X 3/21/20,15,139,Algeria,3/21/20
Algeria X 3/22/20,17,201,Algeria,3/22/20
Algeria X 3/23/20,17,230,Algeria,3/23/20
Algeria X 3/24/20,19,264,Algeria,3/24/20
Algeria X 3/25/20,21,302,Algeria,3/25/20
Algeria X 3/26/20,25,367,Algeria,3/26/20
Algeria X 3/27/20,26,409,Algeria,3/27/20
Algeria X 3/28/20,29,454,Algeria,3/28/20
Algeria X 3/29/20,31,511,Algeria,3/29/20
Algeria X 3/30/20,35,584,Algeria,3/30/20
Algeria X 3/31/20,44,716,Algeria,3/31/20
Algeria X 4/1/20,58,847,Algeria,4/1/20
Algeria X 4/2/20,86,986,Algeria,4/2/20
Algeria X 4/3/20,105,1171,Algeria,4/3/20
Algeria X 4/4/20,130,1251,Algeria,4/4/20
Algeria X 4/5/20,152,1320,Algeria,4/5/20
Algeria X 4/6/20,173,1423,Algeria,4/6/20
Algeria X 4/7/20,193,1468,Algeria,4/7/20
Algeria X 4/8/20,205,1572,Algeria,4/8/20
Algeria X 4/9/20,235,1666,Algeria,4/9/20
Algeria X 4/10/20,256,1761,Algeria,4/10/20
Algeria X 4/11/20,275,1825,Algeria,4/11/20
Algeria X 4/12/20,293,1914,Algeria,4/12/20
Algeria X 4/13/20,313,1983,Algeria,4/13/20
Algeria X 4/14/20,326,2070,Algeria,4/14/20
Algeria X 4/15/20,336,2160,Algeria,4/15/20
Algeria X 4/16/20,348,2268,Algeria,4/16/20
Algeria X 4/17/20,364,2418,Algeria,4/17/20
Algeria X 4/18/20,367,2534,Algeria,4/18/20
Algeria X 4/19/20,375,2629,Algeria,4/19/20
Algeria X 4/20/20,384,2718,Algeria,4/20/20
Algeria X 4/21/20,392,2811,Algeria,4/21/20
Algeria X 4/22/20,402,2910,Algeria,4/22/20
Algeria X 4/23/20,407,3007,Algeria,4/23/20
Algeria X 4/24/20,415,3127,Algeria,4/24/20
Algeria X 4/25/20,419,3256,Algeria,4/25/20
Algeria X 4/26/20,425,3382,Algeria,4/26/20
Algeria X 4/27/20,432,3517,Algeria,4/27/20
Algeria X 4/28/20,437,3649,Algeria,4/28/20
Algeria X 4/29/20,444,3848,Algeria,4/29/20
Algeria X 4/30/20,450,4006,Algeria,4/30/20
Algeria X 5/1/20,453,4154,Algeria,5/1/20
Algeria X 5/2/20,459,4295,Algeria,5/2/20
Algeria X 5/3/20,463,4474,Algeria,5/3/20
Algeria X 5/4/20,465,4648,Algeria,5/4/20
Algeria X 5/5/20,470,4838,Algeria,5/5/20
Algeria X 5/6/20,476,4997,Algeria,5/6/20
Andorra X 1/22/20,0,0,Andorra,1/22/20
Andorra X 1/23/20,0,0,Andorra,1/23/20
Andorra X 1/24/20,0,0,Andorra,1/24/20
Andorra X 1/25/20,0,0,Andorra,1/25/20
Andorra X 1/26/20,0,0,Andorra,1/26/20
Andorra X 1/27/20,0,0,Andorra,1/27/20
Andorra X 1/28/20,0,0,Andorra,1/28/20
Andorra X 1/29/20,0,0,Andorra,1/29/20
Andorra X 1/30/20,0,0,Andorra,1/30/20
Andorra X 1/31/20,0,0,Andorra,1/31/20
Andorra X 2/1/20,0,0,Andorra,2/1/20
Andorra X 2/2/20,0,0,Andorra,2/2/20
Andorra X 2/3/20,0,0,Andorra,2/3/20
Andorra X 2/4/20,0,0,Andorra,2/4/20
Andorra X 2/5/20,0,0,Andorra,2/5/20
Andorra X 2/6/20,0,0,Andorra,2/6/20
Andorra X 2/7/20,0,0,Andorra,2/7/20
Andorra X 2/8/20,0,0,Andorra,2/8/20
Andorra X 2/9/20,0,0,Andorra,2/9/20
Andorra X 2/10/20,0,0,Andorra,2/10/20
Andorra X 2/11/20,0,0,Andorra,2/11/20
Andorra X 2/12/20,0,0,Andorra,2/12/20
Andorra X 2/13/20,0,0,Andorra,2/13/20
Andorra X 2/14/20,0,0,Andorra,2/14/20
Andorra X 2/15/20,0,0,Andorra,2/15/20
Andorra X 2/16/20,0,0,Andorra,2/16/20
Andorra X 2/17/20,0,0,Andorra,2/17/20
Andorra X 2/18/20,0,0,Andorra,2/18/20
Andorra X 2/19/20,0,0,Andorra,2/19/20
Andorra X 2/20/20,0,0,Andorra,2/20/20
Andorra X 2/21/20,0,0,Andorra,2/21/20
Andorra X 2/22/20,0,0,Andorra,2/22/20
Andorra X 2/23/20,0,0,Andorra,2/23/20
Andorra X 2/24/20,0,0,Andorra,2/24/20
Andorra X 2/25/20,0,0,Andorra,2/25/20
Andorra X 2/26/20,0,0,Andorra,2/26/20
Andorra X 2/27/20,0,0,Andorra,2/27/20
Andorra X 2/28/20,0,0,Andorra,2/28/20
Andorra X 2/29/20,0,0,Andorra,2/29/20
Andorra X 3/1/20,0,0,Andorra,3/1/20
Andorra X 3/2/20,0,1,Andorra,3/2/20
Andorra X 3/3/20,0,1,Andorra,3/3/20
Andorra X 3/4/20,0,1,Andorra,3/4/20
Andorra X 3/5/20,0,1,Andorra,3/5/20
Andorra X 3/6/20,0,1,Andorra,3/6/20
Andorra X 3/7/20,0,1,Andorra,3/7/20
Andorra X 3/8/20,0,1,Andorra,3/8/20
Andorra X 3/9/20,0,1,Andorra,3/9/20
Andorra X 3/10/20,0,1,Andorra,3/10/20
Andorra X 3/11/20,0,1,Andorra,3/11/20
Andorra X 3/12/20,0,1,Andorra,3/12/20
Andorra X 3/13/20,0,1,Andorra,3/13/20
Andorra X 3/14/20,0,1,Andorra,3/14/20
Andorra X 3/15/20,0,1,Andorra,3/15/20
Andorra X 3/16/20,0,2,Andorra,3/16/20
Andorra X 3/17/20,0,39,Andorra,3/17/20
Andorra X 3/18/20,0,39,Andorra,3/18/20
Andorra X 3/19/20,0,53,Andorra,3/19/20
Andorra X 3/20/20,0,75,Andorra,3/20/20
Andorra X 3/21/20,0,88,Andorra,3/21/20
Andorra X 3/22/20,1,113,Andorra,3/22/20
Andorra X 3/23/20,1,133,Andorra,3/23/20
Andorra X 3/24/20,1,164,Andorra,3/24/20
Andorra X 3/25/20,1,188,Andorra,3/25/20
Andorra X 3/26/20,3,224,Andorra,3/26/20
Andorra X 3/27/20,3,267,Andorra,3/27/20
Andorra X 3/28/20,3,308,Andorra,3/28/20
Andorra X 3/29/20,6,334,Andorra,3/29/20
Andorra X 3/30/20,8,370,Andorra,3/30/20
Andorra X 3/31/20,12,376,Andorra,3/31/20
Andorra X 4/1/20,14,390,Andorra,4/1/20
Andorra X 4/2/20,15,428,Andorra,4/2/20
Andorra X 4/3/20,16,439,Andorra,4/3/20
Andorra X 4/4/20,17,466,Andorra,4/4/20
Andorra X 4/5/20,18,501,Andorra,4/5/20
Andorra X 4/6/20,21,525,Andorra,4/6/20
Andorra X 4/7/20,22,545,Andorra,4/7/20
Andorra X 4/8/20,23,564,Andorra,4/8/20
Andorra X 4/9/20,25,583,Andorra,4/9/20
Andorra X 4/10/20,26,601,Andorra,4/10/20
Andorra X 4/11/20,26,601,Andorra,4/11/20
Andorra X 4/12/20,29,638,Andorra,4/12/20
Andorra X 4/13/20,29,646,Andorra,4/13/20
Andorra X 4/14/20,31,659,Andorra,4/14/20
Andorra X 4/15/20,33,673,Andorra,4/15/20
Andorra X 4/16/20,33,673,Andorra,4/16/20
Andorra X 4/17/20,35,696,Andorra,4/17/20
Andorra X 4/18/20,35,704,Andorra,4/18/20
Andorra X 4/19/20,36,713,Andorra,4/19/20
Andorra X 4/20/20,37,717,Andorra,4/20/20
Andorra X 4/21/20,37,717,Andorra,4/21/20
Andorra X 4/22/20,37,723,Andorra,4/22/20
Andorra X 4/23/20,37,723,Andorra,4/23/20
Andorra X 4/24/20,40,731,Andorra,4/24/20
Andorra X 4/25/20,40,738,Andorra,4/25/20
Andorra X 4/26/20,40,738,Andorra,4/26/20
Andorra X 4/27/20,40,743,Andorra,4/27/20
Andorra X 4/28/20,41,743,Andorra,4/28/20
Andorra X 4/29/20,42,743,Andorra,4/29/20
Andorra X 4/30/20,42,745,Andorra,4/30/20
Andorra X 5/1/20,43,745,Andorra,5/1/20
Andorra X 5/2/20,44,747,Andorra,5/2/20
Andorra X 5/3/20,45,748,Andorra,5/3/20
Andorra X 5/4/20,45,750,Andorra,5/4/20
Andorra X 5/5/20,46,751,Andorra,5/5/20
Andorra X 5/6/20,46,751,Andorra,5/6/20
Angola X 1/22/20,0,0,Angola,1/22/20
Angola X 1/23/20,0,0,Angola,1/23/20
Angola X 1/24/20,0,0,Angola,1/24/20
Angola X 1/25/20,0,0,Angola,1/25/20
Angola X 1/26/20,0,0,Angola,1/26/20
Angola X 1/27/20,0,0,Angola,1/27/20
Angola X 1/28/20,0,0,Angola,1/28/20
Angola X 1/29/20,0,0,Angola,1/29/20
Angola X 1/30/20,0,0,Angola,1/30/20
Angola X 1/31/20,0,0,Angola,1/31/20
Angola X 2/1/20,0,0,Angola,2/1/20
Angola X 2/2/20,0,0,Angola,2/2/20
Angola X 2/3/20,0,0,Angola,2/3/20
Angola X 2/4/20,0,0,Angola,2/4/20
Angola X 2/5/20,0,0,Angola,2/5/20
Angola X 2/6/20,0,0,Angola,2/6/20
Angola X 2/7/20,0,0,Angola,2/7/20
Angola X 2/8/20,0,0,Angola,2/8/20
Angola X 2/9/20,0,0,Angola,2/9/20
Angola X 2/10/20,0,0,Angola,2/10/20
Angola X 2/11/20,0,0,Angola,2/11/20
Angola X 2/12/20,0,0,Angola,2/12/20
Angola X 2/13/20,0,0,Angola,2/13/20
Angola X 2/14/20,0,0,Angola,2/14/20
Angola X 2/15/20,0,0,Angola,2/15/20
Angola X 2/16/20,0,0,Angola,2/16/20
Angola X 2/17/20,0,0,Angola,2/17/20
Angola X 2/18/20,0,0,Angola,2/18/20
Angola X 2/19/20,0,0,Angola,2/19/20
Angola X 2/20/20,0,0,Angola,2/20/20
Angola X 2/21/20,0,0,Angola,2/21/20
Angola X 2/22/20,0,0,Angola,2/22/20
Angola X 2/23/20,0,0,Angola,2/23/20
Angola X 2/24/20,0,0,Angola,2/24/20
Angola X 2/25/20,0,0,Angola,2/25/20
Angola X 2/26/20,0,0,Angola,2/26/20
Angola X 2/27/20,0,0,Angola,2/27/20
Angola X 2/28/20,0,0,Angola,2/28/20
Angola X 2/29/20,0,0,Angola,2/29/20
Angola X 3/1/20,0,0,Angola,3/1/20
Angola X 3/2/20,0,0,Angola,3/2/20
Angola X 3/3/20,0,0,Angola,3/3/20
Angola X 3/4/20,0,0,Angola,3/4/20
Angola X 3/5/20,0,0,Angola,3/5/20
Angola X 3/6/20,0,0,Angola,3/6/20
Angola X 3/7/20,0,0,Angola,3/7/20
Angola X 3/8/20,0,0,Angola,3/8/20
Angola X 3/9/20,0,0,Angola,3/9/20
Angola X 3/10/20,0,0,Angola,3/10/20
Angola X 3/11/20,0,0,Angola,3/11/20
Angola X 3/12/20,0,0,Angola,3/12/20
Angola X 3/13/20,0,0,Angola,3/13/20
Angola X 3/14/20,0,0,Angola,3/14/20
Angola X 3/15/20,0,0,Angola,3/15/20
Angola X 3/16/20,0,0,Angola,3/16/20
Angola X 3/17/20,0,0,Angola,3/17/20
Angola X 3/18/20,0,0,Angola,3/18/20
Angola X 3/19/20,0,0,Angola,3/19/20
Angola X 3/20/20,0,1,Angola,3/20/20
Angola X 3/21/20,0,2,Angola,3/21/20
Angola X 3/22/20,0,2,Angola,3/22/20
Angola X 3/23/20,0,3,Angola,3/23/20
Angola X 3/24/20,0,3,Angola,3/24/20
Angola X 3/25/20,0,3,Angola,3/25/20
Angola X 3/26/20,0,4,Angola,3/26/20
Angola X 3/27/20,0,4,Angola,3/27/20
Angola X 3/28/20,0,5,Angola,3/28/20
Angola X 3/29/20,2,7,Angola,3/29/20
Angola X 3/30/20,2,7,Angola,3/30/20
Angola X 3/31/20,2,7,Angola,3/31/20
Angola X 4/1/20,2,8,Angola,4/1/20
Angola X 4/2/20,2,8,Angola,4/2/20
Angola X 4/3/20,2,8,Angola,4/3/20
Angola X 4/4/20,2,10,Angola,4/4/20
Angola X 4/5/20,2,14,Angola,4/5/20
Angola X 4/6/20,2,16,Angola,4/6/20
Angola X 4/7/20,2,17,Angola,4/7/20
Angola X 4/8/20,2,19,Angola,4/8/20
Angola X 4/9/20,2,19,Angola,4/9/20
Angola X 4/10/20,2,19,Angola,4/10/20
Angola X 4/11/20,2,19,Angola,4/11/20
Angola X 4/12/20,2,19,Angola,4/12/20
Angola X 4/13/20,2,19,Angola,4/13/20
Angola X 4/14/20,2,19,Angola,4/14/20
Angola X 4/15/20,2,19,Angola,4/15/20
Angola X 4/16/20,2,19,Angola,4/16/20
Angola X 4/17/20,2,19,Angola,4/17/20
Angola X 4/18/20,2,24,Angola,4/18/20
Angola X 4/19/20,2,24,Angola,4/19/20
Angola X 4/20/20,2,24,Angola,4/20/20
